Tiền và các khoản tương đương tiền,Đầu tư tài chính,Các khoản phải thu,Hàng tồn kho,Tài sản cố định,Bất động sản đầu tư,XDCB dở dang,Tài sản khác,Nợ phải trả,Vốn chủ sở hữu,Doanh thu kế hoạch năm kế hoạch,Lợi nhuận kế hoạch năm kế hoạch,Tổng nhu cầu vốn,Nguồn vốn cần vay,Thời gian sử dụng hạn mức (năm),Phần trăm chấp nhận cho vay
909932093.1820167,1740270340.43042,431973212.6134643,380704747.5749021,2431864995.119396,1768838844.4703157,1457065737.8711534,44869295.5818739,4109761758.4212213,1143347830.6332657,328516568.36962473,1850282791.4936023,6359487958.660829,3226114356.0127106,2,0
52297018.94005002,1534142251.6820292,218881170.70538473,1047522828.9883792,4069152182.0752344,1347959019.2419076,1245205933.132127,260877119.78962603,3260335810.9858985,772319101.1911998,7976486130.930429,3141130029.9691296,7118544889.02672,4295674210.16469,3,0
293444396.8761065,245131805.0055945,1211752405.9057882,296228223.13557315,3271582092.362454,1241583486.6332219,1527999079.6490042,934903197.3498876,7393583031.1158285,1642401414.2512364,4551888911.168185,2449444598.8087955,6727435069.723059,1720508696.759397,3,0
367437569.74870735,1899065945.4164243,2155788861.269175,2657920535.845667,7757856255.031192,4894753859.1332,296790011.64834714,332503568.4182781,7949989699.303176,4482903169.160885,5027702620.859595,2850443667.902032,4959196466.287955,2456959534.7978554,1,0
59992130.68214004,148771401.70785382,2660731427.8169465,2627879082.2202783,8489361937.174941,1281555869.8772469,1644732747.3754897,110956693.26813103,1894066857.6758072,155363220.9971035,4218662657.4506574,1831309286.0368545,4284012602.5007877,2306333133.469973,3,1
526019215.71532524,1118239587.796457,123687326.08477174,2846650921.4396496,3437126332.140987,2900078588.4633007,627760498.5635319,316699724.2519095,1132931891.6710324,1071838097.8190918,4056125840.891035,1200101722.713127,6510416094.318431,1283658675.5561054,3,0
29458726.54899451,1890574541.1634088,2383015305.0594387,622926322.7516783,7419620666.108673,3731999327.555353,1772518621.087835,520903302.85159624,7561785197.419525,8165966870.190974,1761624708.504148,303401568.90124786,6617726393.690711,2134502217.3220208,3,0
679678434.7265173,1646290889.8951392,244743028.56821397,145600065.62748128,664071156.0368453,229032925.97872496,272334230.9629397,389160796.85011655,4538387555.473441,7891700713.004958,4589120012.793178,871478829.7394347,3059694684.7451587,156843328.5732084,1,1
7675016.604755033,1364849699.4354942,1750115513.6140234,1339437649.7345986,5005644666.741664,4410228489.998423,17170180.04608915,789361592.0905211,2953142437.9505644,7501061784.757859,3849990383.2464957,867139310.9537519,126298276.03311129,2611288506.3299847,3,0
36776910.55765912,1714123893.0302224,1045426525.0958793,2642854325.4566445,7493747904.195184,781387903.012777,41188517.286663406,612980476.1048065,509962758.664536,6362408973.832223,4266263098.2423716,4674532246.708955,2897339235.331876,3617924105.987522,2,0
834584407.0470717,1349829817.457639,72609487.01898399,1918955929.8217187,3796678039.137331,2948567520.3765187,428218211.21647984,437730033.5661893,5474816192.953001,5960464478.910275,223094838.31831172,4687216815.772926,4859170041.571326,1869676532.7669783,3,0
256346275.19633597,119348141.37269035,309338464.3411493,2994968257.9949126,1333732830.3934836,3212818039.0250177,236411501.88934016,997274916.6493866,1909146691.2677276,2494131984.23729,1264951991.399903,1282727407.7480714,4782380977.631299,3745542190.5959983,1,0
85822793.50958855,708235171.3350061,1074104118.0148487,2718003240.6742673,2592606158.379428,3155237881.342726,1112286475.3574255,886509147.8074453,387296308.6457134,3028250902.052892,6892224600.312993,532680776.97681147,3480812978.0627165,3765747769.2519393,1,0
402469198.91142833,859973831.694507,2862185166.4305086,1184323799.373241,4452573315.135161,3672561678.1606393,902344128.3442705,862945288.666784,4031039271.734819,2137503572.7739575,3830025446.624225,1412182386.3978095,8397758242.357345,4921371045.617229,4,1
55693968.04494332,1097290749.350714,481399561.9810979,128203893.24131949,7599301246.621031,4657563038.558228,1216045002.4184208,569417001.1602701,5394380628.854585,8823216415.856722,6711872385.638241,3983254687.84014,4339556499.732803,2752423507.681809,4,0
751658122.9779367,466984473.5565197,830491637.8917619,25462199.468529053,6749945583.418437,4635902409.08235,393387572.4328495,781025720.4817376,1583823500.4841974,5716056972.062908,1622890223.7273197,4354476836.471111,1337541386.269694,2050117315.8251672,2,0
496676531.14471495,1763533115.519801,2982516562.6235676,1936176385.2291808,798001075.438252,2898828408.362509,1510139633.1441693,339206025.16855943,5880505810.921556,8692590976.420073,6314071716.939819,2508002993.405968,1822644379.7343132,3215645406.661044,5,0
554172817.0083196,465114318.6167658,1452249027.1788373,2748140131.0042996,4938108230.064481,1862195365.3172207,1224833179.9136164,333201296.8413539,1740546529.0941265,2460642308.987254,2673093667.8937626,2702894628.280858,941809093.94846,3151552597.2881303,4,0
754247135.0508193,1318611392.2173824,801490417.9005603,1338248263.0774179,7857539541.818121,1621093037.9493568,450176661.4905544,892592834.3353593,235621908.2329671,5598457822.901788,6375582492.15263,2296224499.789489,2487683178.768831,4937343824.320409,3,0
785536195.5581365,1754448794.134911,1855499619.1468732,2624133301.659228,5215136634.268193,4435702391.332973,803860709.4274848,598849179.9460047,1382945088.5438285,6835377770.132076,872375374.180436,918113762.7893139,2812066773.188486,3553084777.8172255,1,0
140577162.15947658,1468297985.675277,1319376157.760072,1704555215.4565132,631191126.1682107,4268580803.2742558,1439228893.2113633,346868856.3164953,5303604974.182489,870757002.7073601,3069409083.145053,253619977.95526126,3074054736.2273817,1567573281.6667924,4,0
283878220.65466386,280665137.0471925,2577758216.815316,303078836.5449266,7416926812.722135,1493193144.124678,1363937640.0833714,846096296.0866435,5736020257.982607,6009309364.098881,1162272088.417036,3108877756.473378,7541948657.37371,978173788.7561288,1,0
179787786.2105596,1903274428.2457893,43777847.23538837,2396962944.564421,8165588793.317676,778701959.641224,1129053313.8177485,445341253.2492496,7789886236.653415,1538271656.8368905,5703833449.382507,3994655805.771039,6912760901.012048,3973994601.249479,3,1
58768485.37378955,192913995.63434097,2990394293.929663,1482856160.8953178,3533241107.59782,4308487753.355244,1958245655.8294861,402976003.5803284,608412494.0991974,2966180361.567222,3594122813.483427,3747989693.7267165,4515383803.125136,939809953.256035,1,0
539829804.8925816,408133807.05215496,217611075.2682933,162681071.43409285,2825725035.034423,3049578853.3434772,272326967.1289359,31040153.623240538,8578971570.572273,6451053974.542503,761064646.7924696,4501975846.833401,4054699253.914488,3155840733.491871,1,0
253550590.59978127,287093757.10600233,1620628585.4363227,2445664668.493158,4912988171.154001,1579431647.7520857,981675318.908924,680607509.1741798,4721219245.354087,3971781323.118164,4784657000.9345875,4069171476.460264,3465062754.1741757,704965421.7942613,4,0
158211077.7404179,1337164938.741338,2098251969.9971156,2275386282.8243175,8857588276.437235,3061031268.6561236,1251829236.2302525,534979240.6510528,2248013857.4012733,8292033442.756746,321583298.3661846,1441442732.8171427,220726466.6887964,3607591827.338792,1,1
512596531.8569579,1616746048.80031,1658493998.2231553,1377288902.7491806,7545305097.18226,349660175.03716564,1988111632.4730752,315269974.59601384,3320465457.161,2185995777.2811074,7384451219.953507,588484424.192179,8285569893.876521,3925329227.8680196,3,0
635844959.9533271,483651565.93100065,916305802.1798635,68198068.09314203,7308949340.824631,966881044.8427756,1089755084.11282,143604924.06136385,548312163.3309565,1400955257.6284506,8451282083.869688,2156515492.7786326,2694300125.7887106,4953172531.4455805,2,0
773241763.5536407,1958704494.2363863,2569189652.1736107,1047340807.379255,1778634472.1583295,2738024750.0931525,890317186.8709278,186503546.0909331,1035319751.6491742,3047804295.711788,7309630027.001537,1744798039.4049044,7592884018.604258,4773374119.069864,1,0
22405953.752909098,287095146.8485113,1302660631.6359398,1310502911.4292822,8061730110.109454,2705058267.3382726,1845360782.483948,228737704.7063607,7947492927.146131,7670270547.966729,8568401932.927597,3644270655.06592,6693424857.453804,3583344705.4726295,1,0
528653135.7847677,638578344.2324619,916089999.5669484,504291493.95824254,5025714310.003693,1248408826.6371436,1017702250.606916,865877539.3320436,997876943.7005075,7629872506.951542,8084294157.248674,344527656.59290147,1118253814.7768457,1423773521.658241,3,0
270735720.61928475,985715374.265749,2309634429.247764,491105455.2306431,8256063963.691898,4910801079.595675,1879062899.3544352,483232886.4413303,549764327.7261133,3336364108.087407,8064880571.19299,4715335594.749103,2887758672.713676,266404719.48437396,5,0
991632778.0205101,1619606702.9831417,454650486.62328416,509272623.8043863,5882810414.041392,2073934274.7091148,1503314433.732712,697019625.5153413,5404497539.807698,7292384015.894014,2284417147.6448584,4786054985.835786,4413418719.480465,2798445491.894239,3,0
161152000.9404513,759319636.779474,630926964.899758,1118025471.4155254,7515795682.160637,3548519774.906238,344100589.4178596,464011829.17081094,3475475483.797159,718538509.7000418,2157402587.2001324,446282080.16381454,2433225330.7100086,3841603041.4700017,4,0
440656537.8612995,367993735.32945657,773253902.6072204,2454456670.108837,1531455169.818545,1307115028.5050037,343256672.0490114,476362035.7079729,3683067415.770996,88262366.23094113,7303865666.977401,2172648457.777466,3678777405.2626066,102587575.90588257,4,0
970176190.8076838,935223152.3530061,1315945312.999178,2280478831.9772778,6373367099.2136545,2133897327.1001704,642767799.3076377,823037135.5067723,1126444889.2398016,7785946663.19515,4473323585.732559,4496233497.157674,2613625883.196311,2647766314.2383537,2,0
217031708.47136167,958225625.6509641,80602194.73633555,40242046.02832285,2352406624.3521037,4159488457.0589714,144655367.28564274,772300946.5891465,445313930.7643046,7869163742.089416,8486581717.023468,940470134.7038388,5757900307.82172,4420295127.970249,1,0
807863100.8226637,42248350.241390854,2975491443.283239,38831416.86907229,1561674662.987234,4246015131.0458517,1089656290.2503035,235977485.27197257,7798277220.699603,1307721972.3764641,8085602575.971491,3462608425.7779584,3309881625.200092,3204228335.1318054,2,1
246824179.15604138,51567903.73239403,1808449839.5673382,242312332.74583384,5187141845.593217,693591931.9651847,1720887277.2514079,627591210.3419094,3536366273.9088306,2693474724.25169,8049286416.566532,3557514705.92345,3182040902.311763,3434716066.3363404,2,0
79887316.64228009,562501212.4266438,2912743931.828007,1405079540.6247284,5444532968.519985,1786256446.039483,806049010.6490599,681787274.0823021,1035459425.8901027,7658354260.355014,3002465615.2152276,1171817488.73966,2516990500.22222,2397944300.9667687,1,0
47541409.594407424,1485029433.4001148,2426210729.730636,2667757796.3753276,4441029376.688261,1031689181.0530624,1300150111.2670531,407779428.18982893,1842279478.3508778,772227205.9855382,1282829834.9710214,35800863.84313914,7233578835.961867,4718592538.909557,1,0
948995080.9534324,738320694.0781616,420243789.4887652,554948778.8047582,846915205.6476034,4453536822.695334,1963149793.1653173,72990098.56547974,971038592.0974408,7770573221.215764,6133700592.919249,3324022303.0588384,5848817053.873442,1904503846.6077251,3,0
216828937.79320854,430296728.08981854,643022804.2186946,1435619623.6457791,2240503764.8225803,3774229590.2352376,395531338.33895135,374547814.5454398,4328917735.219223,5180649500.071149,4021133564.9341345,3088196441.3372655,6516586842.348104,1926529798.6531339,2,0
295495212.0040756,234819527.14574185,122658850.58586675,131834958.08954543,2157285448.4276814,2825289079.556772,722550934.7126681,361513671.2921691,7241367070.72474,5922349247.49257,8412087989.041999,3250296776.422435,3605407612.2159867,2612801757.188887,2,0
967075380.830035,568239233.6830808,2504695622.831651,70776085.1742572,2857633437.1212153,3257418621.8860836,59729701.20069885,692176433.149968,3571705105.1444736,5361474131.430907,7699370973.828757,786435480.4987966,7571309477.042324,2950364336.205528,4,0
659104238.9528913,968064048.79152,1788503690.0024717,32372091.741813764,5671185359.810737,4572490847.514039,471469042.7224878,810470225.8382514,5598067766.021826,5251140325.135134,8366578428.302354,3020652605.1900983,3805732930.450135,2710254311.5168676,2,0
490686318.7030096,195825147.4226483,660893849.7139659,2212675961.7466354,3969986062.527851,1530311874.9219332,1561044793.474613,399035678.1490154,6095240768.075406,1681848567.4835937,5154009730.008612,2710664594.810683,1670824606.94463,4102226243.195302,3,0
438244549.4275549,39718530.235419855,2910852703.05596,81236494.20810524,8717046838.507774,88101533.0684561,1316614549.204795,647487672.1584983,6423067987.91377,2139801434.1704247,4783426956.902505,2265513317.2589054,4644898796.011492,4180839288.545573,5,0
53321430.562209055,263341013.42614898,2215482145.222259,828708556.9661068,191804199.93061587,151249581.44670781,1569778527.899375,644620405.4347,5469501138.805195,5228881858.754465,7639043717.276987,3885729134.7652116,4059693746.407156,701743272.8829033,2,0
839750099.7320611,1478579260.313811,2122446099.7856445,1938693362.8811443,1982335581.9996374,252502777.84116694,856373911.2774682,649914375.7255964,5009087595.719587,3624620619.173558,4655821295.8789015,1944549116.3850436,916483337.4243841,3001011028.5816026,3,0
763225940.5907178,937956377.3895268,815641810.0123512,1859766182.5902486,5181996169.676831,659834939.7223504,1473910701.8597422,556537459.1531531,4331545100.109665,4880776471.714596,8110256699.679628,1769569542.533539,5997792066.600071,4920301102.57075,3,0
95244049.13870358,895882817.6847988,953853419.0707388,174882833.819002,7920088459.724832,2862953791.713384,1203118601.5751412,631070095.4580957,4288763357.7088666,2295226728.2464867,406412450.4942665,2707322818.3661532,7326762293.48596,3018308419.766971,5,0
356689874.39012,49307723.77439772,2010576948.0847478,777433566.5742335,353469087.92157775,4905810745.058486,663552413.978637,868349011.6635481,3029742417.718861,4185127421.8060308,3293226477.251519,4721240407.766491,3269809598.252173,3456412295.5743976,3,0
885982867.2404103,1424779516.4439979,1788783912.2286854,1921573343.2530875,7958319087.517704,2111188382.2429488,830683438.0143452,922219801.9062608,4565649759.575299,1307773907.6093352,7530019385.447942,1724565576.8901968,6856998706.427314,4313779759.164997,4,1
240259228.2123105,411798689.82635486,1948904958.5428758,1182814842.0785973,4590097502.29619,3567834185.396577,1087247640.8213449,96340435.13654758,4337562762.770912,364790508.63822377,1968560541.91484,2229423450.9348974,5314087160.428255,4339679327.211566,5,0
613177660.5157521,190822363.49029943,2638891890.7957735,1402810187.7793255,7080076065.1551,3965042110.3313365,1913305232.1462116,16693810.688784167,2908866794.1564026,8561025045.586961,3650806003.1802897,1335282944.7911696,2529687378.915418,135094262.68512583,4,0
490496225.39115757,1685645479.8669896,497994751.04685706,629186299.8389584,8540433311.011619,4010957207.011167,1863410576.8814793,521321235.10441476,2745275406.104872,6513035207.960205,189379144.450705,3399664197.9240828,3161393811.827378,1235190707.3790324,2,0
819429105.0601094,976359831.8699244,366673583.64452195,122894698.52998826,1977869455.7853093,2227615307.3109593,1973090059.471832,415748298.2045169,4042313524.679805,4492613426.732478,2785291201.376207,1823605513.9015493,8520516087.848074,4321247148.576488,2,1
40873236.59179198,1500376831.8234696,1702606813.8288333,1042156451.573304,5311793635.688867,2758731040.5373945,42659334.28382698,453913592.8251882,7237288776.803834,4968085809.400234,2935878029.042336,3465020266.2149515,2020528744.0537047,3352148321.713708,3,0
817066352.7211616,1645550943.2445126,1510464110.3339496,2052122060.7587109,7958837033.692284,1657194559.3906403,1437187870.6730614,461212674.3525414,2266958596.2952256,4610340415.574102,6619657638.810958,732822475.5804573,1452078082.0949097,3176943653.7506604,3,1
140040576.1833234,1929587780.0098581,1220552263.95622,2301923181.717708,7607475531.590434,3445547844.6226807,1790364348.0906682,895712648.5727283,7616285497.900128,8091309061.825053,6128259559.742946,1322502938.2908413,773474825.0232239,4306723501.0462,5,0
19997150.33609476,1251162001.1408792,2716044016.7878556,1781664459.8111868,4712631277.18292,1926679976.9906669,1481178394.9581704,638443931.4037515,6529447197.10059,6967274323.312221,4060121144.663475,1035502509.7634069,7892713288.523989,4042422974.4078593,2,0
597523294.832708,145873288.68691447,1683973163.8584466,1185670822.0562997,8547955782.319194,1569096624.2208796,838637615.4177846,445128374.94861853,2393933510.0929623,2939781515.6559205,6583678093.544135,3888126311.9851336,6081874016.392275,3769185489.777214,1,0
262347878.4742431,1119799528.7717032,1710409094.0851748,1753576034.4033787,6390578584.800862,3143969705.0818324,1452335554.0386515,457508796.2836969,173742709.80621177,1979317544.241536,3912181131.3672915,452390979.18720096,1138319708.4862504,284396467.29599816,3,1
